MENUID,MENUTITLE,MENUPARENT,MENULEVEL,MENUORDER
1800,"List of Takaful Deduction Students by Admission Session",1263,3,14
2549,"Journal Log",1481,3,14
1834,"Bank Account Information / Update Bank Account Information",1736,3,14
1876,"Voucher Information",1736,3,14
3546,"Voucher Information Creditor",1818,3,14
1193,"CN Policy by Event",1059,3,15
1328,"PTPTN Export Form",1061,3,15
1897,"Other Payment V2",1096,3,15
3345,"Other Payment (Update Payment Date)",1096,3,15
1801,"List of Students by Student Accommodation",1263,3,15
3069,"Report Deposit",2292,3,15
1252,"Role SF",1059,3,16
1335,"Discount Policy Form",1061,3,16
2326,"Payment Rejected",1096,3,16
2022,"Generate Autopay File",1140,3,16
1802,"List of Students By Study Center",1263,3,16
3222,"Deduction Code by Account Code",1436,3,16
2675,"Variance By Income Code",1481,3,16
2081,Listing,2135,3,16
3369,"Creditor Ageing",2292,3,16
1253,"Role Configure SF",1059,3,17
1069,"Sponsor To Student",1061,3,17
1904,"Payroll Payment",1096,3,17
2681,"Variance By Type",1481,3,17
1839,"Good Receive Note List",2087,3,17
3376,"Debtor Ageing",2292,3,17
1255,"Workflow Invoice",1059,3,18
2633,"Payment Notice",1096,3,18
1804," List of VIVA Students by Graduate School",1263,3,18
2698,"Allowance and Deduction",1481,3,18
3385,"Deposit Statement",2292,3,18
1354,"Discount Type",1059,3,19
1911,"Non-fee Structure",1059,3,19
1822,"View Outbound Data",1061,3,19
2706,"Print SAB By Batch",1096,3,19
2765,"Monthly Loan",1130,3,19
1806,"List Of Students According To The Fees Charged",1263,3,19
2735,Emolument,1481,3,19
3407,"Advance Ageing",2292,3,19
2093,"Fee Items",1059,3,20
2818,"Loan Change Status to Complete",1130,3,20
1807,"List Of Graduate Students",1263,3,20
2835,"Deduction List Per Month",1481,3,20
3433,"Deposit Statement (Management)",2292,3,20
2750,"Academic Calendar (NEW)",1059,3,21
2096,"Fee Items Form",1061,3,21
3538,"Payment Reject Batch",1096,3,21
3307,"Loan Change Status to Cancel",1130,3,21
1810,"List of Student Debt According to Student Inasis",1263,3,21
